Year,Organization,Project,Type,Priority,Funding_Request,Funding_Award,Total_Score,App_Type,Priority_Category
2016,Portland Housing Dev. Corp.,58 Boyd Street Apartments,CON,HA,30000.0,30000.0,92.75,Construction/Development,HA
2016,Living with Peace,The Portland Micros:Building a microenterprises & new jobs,CON,EO,15000.0,15000.0,90.0,Construction/Development,EO
2016,Learning Works,Renovation of Historic 181 Bracket Phase 2,CON,EO,70250.0,,81.0,Construction/Development,EO
2016,COP Public Works,Libbytown Community Garden,CON,NI,13500.0,13500.0,78.5,Construction/Development,NI
2016,Preble Street,Rehab-Homeless Health Partners Clinic,CON,ANGHP,154643.0,,78.25,Construction/Development,ANGHP
2016,COP Recreation & Facilities,East Bayside Soccer Field  Fencing and Futsal Court,CON,NI,194000.0,,78.0,Construction/Development,NI
2016,The Iris Network,Dormitory Accessibility for the Blind,CON,NI,171325.0,,75.5,Construction/Development,NI
2016,Catherine Morrill Day Nursery,Toddler Classroom Expansion Project,CON,EO,234281.0,,70.5,Construction/Development,EO
2016,COP Recreation & Facilities,Cliff Island School Playground,CON,NI,52700.0,,66.25,Construction/Development,NI
2016,Wayside Food Programs,Direct Service Programs,SS,SN,29000.0,26100.0,94.75,Social Services,SN
2016,COP- Social Services Dept.,Family Shelter- After Hours Program,SS,NI,46850.0,46850.0,93.5,Social Services,NI
2016,Amistad Inc.,Amistad Peer Support and Recovery Center,SS,ANGHP,39000.0,35100.0,93.0,Social Services,ANGHP
2016,Preble Street,Food Programs,SS,ANGHP,50000.0,45000.0,93.0,Social Services,ANGHP
2016,Preble Street,Resource Center,SS,ANGHP,45000.0,40500.0,92.75,Social Services,ANGHP
2016,Amistad Inc.,Amistad Peer Coaching Initiative,SS,ANGHP,50000.0,45000.0,92.25,Social Services,ANGHP
2016,Preble Street,Florence House Women's Shelter,SS,ANGHP,30000.0,27000.0,92.0,Social Services,ANGHP
2016,COP- Social Services Dept.,Oxford Shelter- Housing Assistance- Long Term Stayers ,SS,ANGHP,47702.0,47702.0,91.13,Social Services,ANGHP
2016,Learning Works,English Language Program,SS,EO,55000.0,43060.5,89.88,Social Services,EO
2016,Milestone,Homeless Outreach & Mobile Engagement HOME Team,SS,ANGHP,94000.0,54084.0,89.75,Social Services,ANGHP
2016,Preble Street,Joe Kreisler Teen Shelter,SS,ANGHP,30000.0,15000.0,89.75,Social Services,ANGHP
2016,Catholic Charities,Portland Jobs Alliance- Social Services,SS,EO,142991.0,,86.75,Social Services,EO
2016,Port. Community Health Center,Survivors of War Trauma and Displacement,SS,ANGHP,91918.0,,86.0,Social Services,ANGHP
2016,The Opportunity Alliance,Work/Life Advisor Program (WLAP),SS,EO,70000.0,,85.5,Social Services,EO
2016,Memory Works,Model Memory Cafes for Portland Seniors,SS,NI,21253.0,,84.75,Social Services,NI
2017,YMCA of Southern Maine,Boiler Replacement for the Men's Dormitory,CON,NI,74991.0,,87.25,Construction/Development,NI
2017,Youth and Family Outreach,Life and Safety Upgrades,CON,NI,204182.0,,82.75,Construction/Development,NI
2017,Catholic Charities,Energy Efficiency Upgrades - Support and Recovery Services,CON,NI,47145.0,,80.4286,Construction/Development,NI
2017,Catherine Morrill Day Nursery,Toddler Classroom Expansion Project,CON,EO,235156.0,,80.0,Construction/Development,EO
2017,Preble Street,Resource Center Rehabilitation Project,CON,NI,125103.0,,79.5,Construction/Development,NI
2017,The Iris Network,Dormitory Accessibility for the Blind,CON,NI,157500.0,,77.875,Construction/Development,NI
2017,Bayside Neighborhood Assoc.,Bayside: A Livable Neighborhood Community Garden,CON,NI,12800.0,,77.0,Construction/Development,NI
2017,Learning Works,Renovation of Historic 181 Bracket Phase 2,CON,EO,73759.0,,76.5,Construction/Development,EO
2017,"COP Parks, Rec, and Facilities",East Bayside Soccer Futsal Court,CON,NI,152700.0,,74.375,Construction/Development,NI
2017,Port Resources,70/72 Emery Street Bathrooms and Roof Renovations,CON,NI,79350.0,,70.5,Construction/Development,NI
2017,Mayo Street Arts,ADA Accessibility for Mayo Street Arts,CON,NI,113075.0,,66.125,Construction/Development,NI
2017,"COP Parks, Rec, and Facilities",Cliff Island School Playground,CON,NI,57200.0,,58.375,Construction/Development,NI
2017,Wayside Foods Program,Direct Services Programs,SS,ANGHP,30000.0,,94.875,Social Services,ANGHP
2017,Preble Street,Florence House Women's Shelter,SS,ANGHP,30000.0,,94.125,Social Services,ANGHP
2017,Preble Street,Food Programs,SS,ANGHP,50000.0,,93.625,Social Services,ANGHP
2017,Preble Street,Resource Center,SS,ANGHP,45000.0,,93.25,Social Services,ANGHP
2017,Preble Street,Joe Kreisler Teen Shelter,SS,ANGHP,30000.0,,91.75,Social Services,ANGHP
2017,Catherine Morrill Day Nursery,Portland CDBG Childcare Voucher Collaborative,SS,EO,88711.0,,90.25,Social Services,EO
2017,COP- Social Services Dept.,Family Shelter- After Hours Program ,SS,ANGHP,49224.0,,90.25,Social Services,ANGHP
2017,Milestone,HOME Team & Medical Outreach,SS,ANGHP,130000.0,,90.25,Social Services,ANGHP
2017,COP- Social Services Dept.,Portland Opportunity Crew,SS,EO,18931.0,,86.375,Social Services,EO
2017,Amistad Inc.,Peer Coaching Initiative,SS,ANGHP,60000.0,,86.25,Social Services,ANGHP
2017,Amistad Inc.,Peer Support and Recovery Center,SS,ANGHP,35000.0,,85.0,Social Services,ANGHP
2017,LearningWorks,English Language Program ,SS,EO,60000.0,,84.875,Social Services,EO
2017,COP- Social Services Dept.,Oxford Shelter- Housing Assistance- Long Term Stayers ,SS,ANGHP,51541.0,,83.375,Social Services,ANGHP
2017,The Opportunity Alliance,Homeless Prevention Program (HPP),SS,ANGHP,54000.0,,83.375,Social Services,ANGHP
2017,Portland Adult Education,New American Skilled Professional Enhanced Services ,SS,EO,75379.0,,82.75,Social Services,EO
2017,Catholic Charities,Immigrant Legal Services ,SS,NI,52151.0,,76.5714,Social Services,NI
2017,Catholic Charities,Independent Living Support Services ,SS,NI,78463.0,,74.0,Social Services,NI
2017,Bayside Neighborhood Assoc.,Programming to accompany Community Garden ,SS,NI,10400.0,,70.875,Social Services,NI
2017,Alpha One,Indep. Living for Portland New Americans w/ Disabilities,SS,EO,75000.0,,64.5,Social Services,EO
2018,Portland Housing Authority,Front Street Re-Development Phase 1,CON,NI,250000.0,,84.22222222222223,Construction/Development,NI
2018,Port Resources,Four Hot Water Heater Replacements,CON,NI,12504.0,,81.88888888888889,Construction/Development,NI
2018,Police Department,Community Policing,SS,NI,150000.0,,,Social Services,NI
2018,Wayside Food Programs,Direct Service Program,SS,ANGHP,34000.0,,91.55555555555557,Social Services,ANGHP
2018,Preble Street,Joe Kreisler Teen Shelter,SS,ANGHP,26140.0,,91.55555555555556,Social Services,ANGHP
2018,Catherine Morrill Day Nursery,Portland CDBG Childcare Voucher Collaborative,SS,EO,81176.0,8460.0,90.44444444444444,Social Services,EO
2018,COP- Health & Human Services,After Hours Emergency Assistance Program ,SS,ANGHP,51383.0,,90.22222222222223,Social Services,ANGHP
2018,COP- Public Health Division,Mobile Medical Outreach Project ,SS,ANGHP,50000.0,-871.52,89.88888888888889,Social Services,ANGHP
2018,Preble Street,Food Programs,SS,ANGHP,43568.0,,89.88888888888889,Social Services,ANGHP
2018,Amistad & Portland Downtown,Peer Outreach Worker (POW) Program ,SS,ANGHP,80000.0,1345.0,89.66666666666666,Social Services,ANGHP
2018,Catholic Charities & ILAP,Immigrant Legal Services,SS,EO,91542.0,1345.0,89.44444444444446,Social Services,EO
