Organization,2022,2023,2024,2025,Total
City of Portland Department of Public Works,0,0,3,2,5
"City of Portland Department of Parks, Recreation, and Facilities",0,0,2,1,3
Port Resources,1,1,0,1,3
Alpha One,0,1,0,1,2
Catherine Morrill Day Nursery,1,0,0,1,2
"City of Portland, Public Works Dept.",0,2,0,0,2
COP Department of Public Works,2,0,0,0,2
Maine Irish Heritage Center,1,0,0,0,1
Trustees of the First Parish Church,0,1,0,0,1
Trustees of First Parish Church,1,0,0,0,1
Preble Street,0,1,0,0,1
"MicroRail, Inc.dba Hope Harbor",0,0,1,0,1
Coastal Enterprise Inc.,0,1,0,0,1
Hope Acts,0,1,0,0,1
Habitat for Humanity of Greater Portland,1,0,0,0,1
