Organization,2022,2023,2024,2025,Total
Preble Street,3,3,3,2,11
Greater Portland Family Promise,1,1,1,1,4
Milestone Recovery,1,1,1,1,4
Hope Acts,1,1,1,1,4
Through These Doors,1,1,1,1,4
Furniture Friends,1,1,1,0,3
Catherine Morrill Day Nursery,1,1,1,0,3
Quality Housing Coalition,0,1,1,1,3
Maine Academy of Modern Music,0,0,1,1,2
Amistad,1,1,0,0,2
Wayside Food Program,1,1,0,0,2
Catholic Charities Maine,0,0,1,1,2
Catholic Charities,1,1,0,0,2
Police Department,1,1,0,0,2
Portland Fire Department,0,0,0,1,1
