Organization,2022,2023,2024,2025,Total_Funded,Total_Apps,Fund_%
Preble Street,3,1,3,2,9,11,82
Milestone Recovery,1,1,1,1,4,4,100
Hope Acts,1,1,1,1,4,4,100
Through These Doors,1,1,1,1,4,4,100
Greater Portland Family Promise,1,1,1,1,4,4,100
Catherine Morrill Day Nursery,1,1,1,0,3,3,100
Quality Housing Coalition,0,1,1,1,3,3,100
Furniture Friends,1,0,1,0,2,3,67
Wayside Food Program,1,1,0,0,2,2,100
Police Department,1,1,0,0,2,2,100
Maine Academy of Modern Music,0,0,1,1,2,2,100
Amistad,1,0,0,0,1,2,50
Catholic Charities,0,1,0,0,1,2,50
Catholic Charities Maine,0,0,1,1,2,2,100
"Community Housing of Maine, Inc.",0,0,1,0,1,1,100
